Música,#genre#
AeroOnline,https://conectperu.com:7025/stream
Doble_Nueve_-_Heritage,https://conectperu.com:7002/stream
Radio_Urbana_95.7_La_Mar_-_Ayacucho,https://radio.rtvstreaming.com/8014/stream
MALKI_RETRO_-_Pop,_Rock_&_Latino,https://radio.andaina.net/8072/stream
Doble_Nueve,https://conectperu.com:7000/stream
Doble_Nueve_-_Millennial,https://conectperu.com:7001/stream
Generacion_KPOP,https://stream9.mexiserver.com:7122/stream
Radio_Apurimeña_98.1_Tambobamba,https://sonic.dattassd.com/6836/stream
Metroploitanara_Radio_Peruna,http://99.198.110.162:8130/
RADIO_AMAZONICA,https://cloudstream2034.conectarhosting.com/8172/stream
Radio_Central_Mix_Del_Perù,http://oyotunstream.com:60004/
La_Vero_Radio_"Romantica",https://us-b4-p-e-zs14-audio.cdn.mdstrm.com/live-audio-aw/5fada54116646e098d97e6a5/playlist.m3u8?aid=5faaeb72f92d7b07dfe10181&pid=tpLoaOuPw0pRsQdUXma4UtWkhhDvoMTK&sid=tIJPM9E75B5kAW70dyu5galKrjoLh4k4&uid=421Ksv8zh2OrGfB70DsVaEmoYS36fL7c&es=us-b4-p-e-zs14-audio.cdn.mdstrm.com&ote=1787996224201&ot=c6ddURhsOIMMLid7TmjYFw&proto=https&pz=us&cP=128000&awCollectionId=5faaeb72f92d7b07dfe10181&liveId=5fada54116646e098d97e6a5&listenerId=421Ksv8zh2OrGfB70DsVaEmoYS36fL7c
Fuego_Mix,http://radio.sistemasandinos.org:7166
Kiss_FM,https://laradiossl.online:10644/stream.nsv
Radio_Exclusiva_del_Peru,https://sp.oyotunstream.com/8042/
Radio_CIPBAN_ENM,https://conectperu.com:7110/
Radio_KISS_FM,https://panelautodj.innovatestream.pe/8156/stream
Radio_Mega_Hits_-_Huayllay,http://radio.transmite.pe:9304/stream.nsv
Radio_Maria,http://dreamsiteradiocp4.com:8020/stream.mp3
Radio_Liberación_Divina,http://radio.transmite.pe:9342/
Radio_Ecuajey,https://radio.plhradio.com:7000/
Radio_Moyobamba,https://conectperu.com:7117/stream
Radio_JVM_la_Estación,https://jvmlaestacion.stream.laut.fm/jvmlaestacion?t302=2026-08-28_09-37-01&uuid=2f6cbb3c-8694-406b-a8b6-8a78b2cd3552
Ovacion,http://stream9.mexiserver.com:8242/
Radio_Onda_Cero_98.1,https://conectperu.com:7089/
radio_Trujillo_web,https://stream1.svrdedicado.org/8344/stream
Radio_Filarmonia,http://c22.radioboss.fm:8100/stream
Doble_Nueve_-_MILLENNIAL,https://conectperu.com/8004/stream
Radio_Union_Cristiana_98.5_Fm,https://stream2.eistreaming.com:10995/
Radio_Vinilo_Peru,https://sp.onliveperu.com:7003/
SuperStereo,https://radio.pjcks.com/7230/stream
Doble_Nueve_-_HERITAGE,https://conectperu.com/8006/stream
Radio_Calor_Huancayo,http://corporacionlatina.com:8000/
Radio_Satélite_Callao,https://cloudstream2032.conectarhosting.com/9558/stream
